"Time (s)","Sound pressure level (dB)"
4.134555636E2,-4.254955154E1
4.135595657E2,-4.148951581E1
4.136659120E2,-4.717027325E1
4.137719741E2,-3.900423134E1
4.138763079E2,-4.348396918E1
4.139779665E2,-4.249572834E1
4.140805955E2,-4.749991904E1
4.141824135E2,-4.274716756E1
4.142852640E2,-5.310931081E1
4.143913286E2,-5.205233116E1
4.144977474E2,-4.985013979E1
4.146042415E2,-4.039428471E1
4.147096894E2,-3.602945575E1
4.148162418E2,-3.158586319E1
4.149234327E2,-3.304005364E1
4.150263548E2,-5.045832237E1
4.151328042E2,-5.152691443E1
4.152366892E2,-5.200629913E1
4.153431065E2,-5.136643990E1
4.154488265E2,-5.199202997E1
