"Time (s)","Sound pressure level (dB)"
1.292974870E2,-5.445295612E1
1.294038540E2,-5.530827811E1
1.295076864E2,-5.519785779E1
1.296128124E2,-5.572465403E1
1.297148136E2,-5.403986928E1
1.298203869E2,-5.541616784E1
1.299242747E2,-5.615459559E1
1.300306285E2,-5.679325475E1
1.301312877E2,-5.495866497E1
1.302376520E2,-5.358106807E1
1.303410590E2,-5.355988454E1
1.304474055E2,-5.509552147E1
1.305506070E2,-5.565765851E1
1.306533877E2,-5.480599145E1
1.307576687E2,-5.414077294E1
1.308639883E2,-5.356050441E1
1.309667369E2,-5.655404226E1
1.310730142E2,-5.495061074E1
1.311744362E2,-5.419424785E1
1.312808822E2,-5.583846558E1
1.313840689E2,-5.529435136E1
1.314903327E2,-5.561973080E1
1.315918473E2,-5.366455885E1
1.316981127E2,-5.552015528E1
1.318043757E2,-4.387553286E1
1.319077498E2,-3.912556703E1
1.320129680E2,-4.287524685E1
1.321148965E2,-3.708186474E1
1.322212442E2,-3.632862967E1
1.323244385E2,-4.863709898E1
1.324308094E2,-5.306856884E1
1.325329273E2,-5.529630020E1
1.326373697E2,-5.659685942E1
1.327411679E2,-5.702435114E1
1.328425909E2,-5.451898021E1
1.329479612E2,-4.596367479E1
1.330542574E2,-4.941450010E1
1.331579315E2,-4.983359425E1
1.332643249E2,-5.538863091E1
1.333707262E2,-4.707587991E1
1.334745585E2,-4.722484459E1
1.335808867E2,-4.774101352E1
1.336873299E2,-4.592245908E1
1.337913016E2,-4.632948938E1
1.338976577E2,-4.768319488E1
1.340039814E2,-4.846043269E1
1.341080008E2,-4.931831092E1
1.342130145E2,-4.798884240E1
1.343148935E2,-4.731933899E1
1.344211967E2,-4.871933587E1
1.345245653E2,-5.319043745E1
1.346305433E2,-5.595430522E1
1.347315330E2,-5.587720472E1
1.348378701E2,-5.463212867E1
1.349413234E2,-5.039267092E1
1.350476171E2,-4.916903708E1
1.351539054E2,-4.794223160E1
1.352581210E2,-4.497036724E1
1.353593779E2,-5.088188508E1
1.354648632E2,-5.259952522E1
1.355684178E2,-5.540445925E1
1.356741673E2,-5.381732156E1
1.357772226E2,-5.514050626E1
1.358816256E2,-5.480238829E1
1.359879189E2,-5.490147822E1
1.360913610E2,-5.617831107E1
1.361972202E2,-5.723618860E1
1.363001928E2,-5.490584298E1
1.364061136E2,-5.463229533E1
1.365082219E2,-5.407564265E1
1.366130141E2,-5.641691921E1
1.367150060E2,-5.568647607E1
1.368167755E2,-5.375726191E1
1.369228256E2,-5.483351882E1
